Year2006,Family Number,Line,PlantHeight(in),tasselbranchNum,tasselbranchAngle_degrees
P,1,Mo001,65,3,20
P,1,Mo001,53,4,20
P,1,Mo001,56,4,15
P,1,Mo001,49,3,15
P,1,Mo001,42,3,10
P,1,Mo001,63,4,20
P,1,Mo001,31,,
P,1,Mo001,82,,
P,1,Mo001,74,,
P,2,Mo005,55,5,20
P,2,Mo005,52,8,20
P,2,Mo005,69,6,15
P,2,Mo005,79,6,15
P,2,Mo005,59,7,20
P,2,Mo005,67,8,20
P,2,Mo005,80,9,15
P,2,Mo005,59,7,15
P,2,Mo005,62,8,15
P,2,Mo005,69,8,20
P,2,Mo005,61,7,15
P,2,Mo005,71,6,15
P,3,Mo007,70,3,5
P,3,Mo007,64,2,5
P,3,Mo007,63,3,10
P,3,Mo007,68,3,5
P,3,Mo007,67,2,5
P,3,Mo007,70,3,10
P,3,Mo007,65,3,10
P,3,Mo007,68,2,5
P,3,Mo007,64,3,5
P,3,Mo007,66,3,5
P,3,Mo007,71,2,5
P,3,Mo007,65,,
P,4,Mo008,57,3,5
P,4,Mo008,53,5,5
P,4,Mo008,41,5,5
P,4,Mo008,61,3,7
P,4,Mo008,60,3,5
P,4,Mo008,73,5,5
P,4,Mo008,66,3,10
P,4,Mo008,63,5,7
P,4,Mo008,63,5,1
P,4,Mo008,71,2,10
P,4,Mo008,66,4,5
P,4,Mo008,42,4,5
P,4,Mo008,58,3,5
P,4,Mo008,69,5,5
P,5,Mo010,82,3,10
P,5,Mo010,72,2,20
P,5,Mo010,25,2,10
P,5,Mo010,57,3,20
P,5,Mo010,36,4,15
P,5,Mo010,76,4,12
P,5,Mo010,72,4,10
P,5,Mo010,75,3,10
P,5,Mo010,66,4,12
P,5,Mo010,76,,
P,6,Mo012,61,4,10
P,6,Mo012,21,3,15
P,6,Mo012,61,3,10
P,6,Mo012,16,4,15
P,6,Mo012,55,,
P,6,Mo012,38,,
P,6,Mo012,62,,
P,7,Mo014,65,4,20
P,7,Mo014,59,4,12
P,7,Mo014,66,4,7
P,7,Mo014,65,2,15
P,7,Mo014,65,3,10
P,7,Mo014,61,2,7
P,7,Mo014,65,3,10
P,7,Mo014,64,2,10
P,7,Mo014,61,2,7
P,7,Mo014,67,3,15
P,7,Mo014,58,3,7
P,7,Mo014,65,1,5
P,7,Mo014,61,,
P,8,Mo015,61,4,30
P,8,Mo015,69,4,20
P,8,Mo015,77,5,20
P,8,Mo015,46,4,10
P,8,Mo015,58,4,20
P,8,Mo015,60,4,15
P,8,Mo015,69,5,20
P,8,Mo015,50,4,20
P,8,Mo015,66,4,10
P,8,Mo015,64,4,5
P,8,Mo015,61,4,15
P,8,Mo015,63,5,20
P,8,Mo015,42,5,10
P,9,Mo016,59,3,5
P,9,Mo016,63,3,7
P,9,Mo016,61,4,2
P,9,Mo016,54,4,3
P,9,Mo016,63,3,2
P,9,Mo016,62,2,3
P,9,Mo016,65,4,3
P,9,Mo016,61,4,2
P,9,Mo016,53,3,3
P,9,Mo016,61,2,5
P,9,Mo016,53,2,2
P,9,Mo016,58,4,2
P,9,Mo016,57,3,2
P,9,Mo016,57,3,3
P,10,Mo017,65,3,15
P,10,Mo017,75,2,15
P,10,Mo017,82,2,15
P,10,Mo017,80,2,10
P,10,Mo017,70,1,5
P,10,Mo017,74,2,5
P,10,Mo017,79,1,10
P,10,Mo017,78,3,12
P,10,Mo017,79,2,15
P,10,Mo017,80,2,10
P,10,Mo017,72,2,5
P,10,Mo017,73,2,15
P,11,Mo021,69,3,20
P,11,Mo021,74,3,10
P,11,Mo021,76,2,12
P,11,Mo021,69,4,7
P,11,Mo021,73,2,15
P,11,Mo021,68,3,10
P,11,Mo021,73,4,17
P,11,Mo021,48,2,8
P,11,Mo021,73,3,10
P,11,Mo021,73,3,10
P,11,Mo021,78,3,15
P,11,Mo021,42,4,7
P,11,Mo021,78,3,22
P,11,Mo021,75,2,10
P,12,Mo022,48,5,10
P,12,Mo022,47,3,10
P,12,Mo022,68,5,5
P,12,Mo022,43,3,5
P,12,Mo022,44,4,5
P,12,Mo022,54,3,5
P,12,Mo022,31,4,5
P,12,Mo022,55,6,10
P,12,Mo022,47,6,5
P,12,Mo022,68,5,5
P,13,Mo023,51,2,20
P,13,Mo023,50,3,25
