rand_ranks,Line,height(in),NumTasselBranches,TasselBranchAngle(deg),,,,
1,Mo287,94,6,40,,,,
2,Mo369,81,6,12,,,,
3,Mo066,62,5,14,,,,
4,Mo365,90,5,14,,,,
5,Mo364,84,7,12,,,,
6,Mo017,87,.,.,,,,
7,Mo272,80,7,8,,,,
8,Mo357,54,6,35,,,,
9,Mo345,73,5,21,,,,
10,Mo001,66,4,25,,,,
11,Mo060,75,8,12,,,,
12,Mo010,86,5,15,,,,
13,Mo043,48,4,25,,,,
14,Mo352,60,3,27,,,,
15,Mo062,77,5,4,,,,
16,Mo383,64,4,12,,,,
17,Mo326,82,5,19,,,,
18,Mo025,41,4,4,,,,
19,Mo352,53,2,3,,,,
20,Mo077,83,20,21,,,,
21,Mo012,72,6,12,,,,
22,Mo017,82,4,16,,,,
23,Mo027,70,2,14,,,,
24,Mo365,90,6,24,,,,
25,Mo357,.,6,15,,,,
26,Mo354,66,.,.,,,,
27,Mo076,86,4,8,,,,
28,Mo315,77,3,7,,,,
29,Mo378,74,5,8,,,,
30,Mo016,67,3,3,,,,
31,Mo346,70,4,9,,,,
32,Mo001,.,.,.,,,,
33,Mo045,47,.,.,,,,
34,Mo023,36,3,21,,,,
35,Mo265,84,9,35,,,,
36,Mo061,76,3,14,,,,
37,Mo076,75,.,.,,,,
38,Mo364,71,5,10,,,,
39,Mo076,.,.,.,,,,
40,Mo344,41,6,24,,,,
41,Mo383,57,4,28,,,,
42,Mo346,84,3,6,,,,
43,Mo039,67,4,5,,,,
44,Mo054,71,3,19,,,,
45,Mo062,76,5,16,,,,
46,Mo264,55,2,50,,,,
47,Mo023,61,.,.,,,,
48,Mo269,71,.,.,,,,
49,Mo025,41,4,3,,,,
50,Mo352,55,.,.,,,,
51,Mo057,34,.,.,,,,
52,Mo378,75,5,25,,,,
53,Mo326,77,3,24,,,,
54,Mo077,75,3,15,,,,
55,Mo039,63,4,4,,,,
56,Mo067,69,5,10,,,,
57,Mo001,22,.,.,,,,
58,Mo378,40,7,10,,,,
59,Mo344,64,5,19,,,,
60,Mo014,67,3,5,,,,
61,Mo005,50,6,19,,,,
62,B73,56,4,10,,,,
63,Mo368,74,5,6,,,,
64,Mo057,36,1,18,,,,
65,Mo014,65,2,25,,,,
66,Mo341,76,2,16,,,,
67,Mo368,80,6,10,,,,
68,Mo364,71,5,15,,,,
69,Mo005,73,5,12,,,,
70,Mo022,47,4,6,,,,
71,Mo368,73,7,10,,,,
72,Mo077,78,4,15,,,,
73,Mo269,64,5,14,,,,
74,Mo077,76,4,9,,,,
75,Mo266,66,11,19,,,,
76,Mo357,.,.,.,,,,
77,Mo060,68,6,8,,,,
78,Mo054,71,4,16,,,,
79,Mo023,34,0,0,,,,
80,Mo344,48,7,14,,,,
81,Mo365,84,6,11,,,,
82,Mo383,62,5,7,,,,
83,Mo272,66,5,4,,,,
84,Mo287,79,5,14,,,,
85,Mo269,.,.,.,,,,
86,Mo058,68,4,6,,,,
87,Mo354,65,4,10,,,,
88,Mo325,80,5,7,,,,
89,Mo326,72,6,9,,,,
90,Mo058,68,6,9,,,,
91,Mo379,48,4,7,,,,
92,Mo058,67,4,9,,,,
93,Mo352,49,3,19,,,,
94,Mo267,55,4,10,,,,
95,Mo269,60,3,14,,,,
96,Mo287,65,5,8,,,,
97,Mo022,55,6,10,,,,
98,Mo057,34,4,9,,,,
99,Mo005,68,4,9,,,,
100,Mo079,77,7,6,,,,
101,Mo001,66,5,8,,,,
102,Mo264,50,1,36,,,,
103,Mo325,86,6,10,,,,
104,Mo265,58,7,7,,,,
105,Mo033,65,6,13,,,,
106,Mo012,58,4,10,,,,
107,Mo369,27,.,.,,,,
108,Mo034,60,6,16,,,,
109,Mo272,67,7,12,,,,
110,Mo357,19,.,.,,,,
111,Mo045,55,3,15,,,,
112,Mo352,30,.,.,,,,
113,Mo043,42,5,20,,,,
114,Mo317,59,3,9,,,,
115,Mo379,.,.,.,,,,
116,Mo357,30,5,15,,,,
117,Mo017,69,3,20,,,,
118,Mo272,56,5,15,,,,
119,Mo062,64,4,9,,,,
120,Mo352,42,2,33,,,,
121,Mo012,50,4,12,,,,
122,Mo337,74,5,14,,,,
123,Mo023,18,.,.,,,,
124,Mo325,84,5,6,,,,
125,Mo067,73,5,6,,,,
126,Mo345,59,0,0,,,,
127,Mo027,54,2,10,,,,
128,Mo015,22,.,.,,,,
129,Mo357,.,.,.,,,,
130,Mo015,25,2,14,,,,
131,Mo369,62,7,14,,,,
132,Mo364,52,6,9,,,,
133,Mo337,61,2,25,,,,
134,Mo315,61,3,10,,,,
135,Mo045,58,4,20,,,,
136,Mo17,66,4,45,,,,
137,Mo346,.,.,.,,,,
138,Mo267,61,6,7,,,,
139,Mo015,56,4,10,,,,
140,Mo365,76,7,29,,,,
141,Mo365,77,6,6,,,,
142,Mo368,67,6,13,,,,
143,Mo378,75,4,14,,,,
144,Mo265,67,6,9,,,,
145,Mo287,.,.,.,,,,
146,Mo005,.,.,.,,,,
147,Mo027,56,2,23,,,,
148,Mo027,56,2,36,,,,
149,Mo365,66,6,18,,,,
150,Mo383,55,6,22,,,,
151,Mo378,62,5,10,,,,
152,Mo346,53,4,26,,,,
153,Mo325,.,.,.,,,,
154,Mo326,67,3,13,,,,
155,Mo317,53,3,19,,,,
156,Mo023,30,1,20,,,,
157,Mo317,44,5,10,,,,
158,Mo043,31,4,9,,,,
159,Mo058,38,1,3,,,,
160,Mo007,57,2,10,,,,
161,Mo045,54,3,18,,,,
162,Mo010,65,3,6,,,,
163,Mo383,.,.,.,,,,
164,Mo317,64,3,9,,,,
165,Mo264,51,3,10,,,,
166,Mo345,48,4,12,,,,
167,Mo266,50,5,12,,,,
168,Mo060,65,4,14,,,,
169,Mo043,34,3,7,,,,
170,Mo337,.,.,.,,,,
171,Mo074,60,4,13,,,,
172,Mo010,49,3,5,,,,
173,Mo074,54,1,7,,,,
174,B73,50,5,15,,,,
175,Mo016,63,2,4,,,,
176,Mo266,59,6,20,,,,
177,Mo354,54,5,11,,,,
178,Mo079,58,6,40,,,,
179,Mo015,43,3,8,,,,
180,Mo021,73,2,18,,,,
181,Mo325,68,4,17,,,,
182,Mo325,74,4,13,,,,
183,Mo079,29,.,.,,,,
184,Mo023,48,4,34,,,,
185,B73,52,5,8,,,,
186,Mo378,.,.,.,,,,
187,Mo337,77,2,22,,,,
188,Mo345,63,3,18,,,,
189,Mo025,58,5,7,,,,
190,Mo383,54,3,15,,,,
191,Mo005,54,5,21,,,,
192,Mo077,69,5,19,,,,
193,Mo015,51,4,16,,,,
194,Mo021,73,4,12,,,,
195,Mo055,66,2,22,,,,
